1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,21,0,1
1,0,0,0,0,0,0,0,0,0,0,12,21,0,1
1,0,0,0,0,0,0,21,21,0,0,0,21,1,1
1,0,0,0,0,21,0,21,21,12,0,0,21,0,1
1,0,21,11,0,21,0,21,21,0,0,0,21,0,1
1,0,21,0,0,21,0,21,21,0,0,0,21,0,1
1,0,21,0,1,21,0,21,21,0,0,0,21,0,1
1,0,21,0,12,21,0,21,21,0,0,0,21,0,1
1,0,21,0,1,21,0,21,21,0,0,0,21,0,1
1,0,21,0,0,21,1,21,21,22,22,22,21,0,1
24,22,22,22,22,22,22,22,22,22,22,22,22,22,24
1,5,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
