1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,22,22,22,22,22,22,22,22,22,22,22,21,1
1,1,1,22,22,22,22,22,22,22,22,22,22,22,21,1
1,20,20,0,0,4,4,4,4,0,0,0,0,21,21,1
1,20,20,0,0,4,4,4,4,0,0,0,0,21,21,1
1,20,20,0,4,0,0,1,4,0,14,0,0,21,21,1
1,20,20,0,4,0,0,1,4,0,0,0,0,21,21,1
1,20,20,12,4,0,5,1,4,3,0,0,0,21,21,1
1,20,20,0,4,0,0,1,4,0,12,0,0,21,21,1
1,20,20,0,4,0,0,1,4,0,0,0,0,21,21,1
1,20,20,0,0,4,4,4,4,0,11,0,0,21,21,1
1,20,20,0,0,4,4,4,4,0,0,0,0,21,21,1
1,20,23,23,23,23,23,23,23,23,23,23,23,21,21,1
1,20,23,23,23,23,23,23,23,23,23,23,23,23,23,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
